state,middate,daysleft,pollster,clinton,trump
FL,10/30/16,9,Remington,44,48
FL,3/4/16,249,CNN/Opinion Research Corp.,50,43
FL,11/4/16,4,Rasmussen Reports/Pulse Opinion Research,47,45
FL,5/17/16,175,Gravis Marketing,46,42
FL,11/4/16,4,Google Consumer Surveys,36.53,41.36
FL,5/17/16,175,YouGov,43,42
FL,10/12/16,27,Public Policy Polling,46,42
FL,4/26/16,196,Associated Industries of Florida,49,36
FL,10/26/16,13,Rasmussen Reports/Pulse Opinion Research,42,48
FL,10/22/16,17,SurveyMonkey,47,44
FL,10/30/16,9,SurveyMonkey,47,44
FL,10/22/16,17,Florida Atlantic University,46.2,43.3
FL,6/1/16,160,"Mason-Dixon Polling & Research, Inc.",45,42
FL,10/12/16,27,SurveyMonkey,43,45
FL,10/17/16,22,Ipsos,48.01,44.38
FL,9/3/16,66,Google Consumer Surveys,31.35,39.97
FL,8/16/16,84,Saint Leo University,51.7,37.7
FL,9/26/16,43,Ipsos,47.55,46.4
FL,10/22/16,17,University of North Florida,43,39
FL,10/29/16,10,Rasmussen Reports/Pulse Opinion Research,47,46
FL,9/17/16,52,Cherry Communications,43,41
FL,9/19/16,50,Ipsos,49.08,45.16
FL,10/4/16,35,Marist College,45,42
FL,9/2/16,67,Quinnipiac University,43,43
FL,10/23/16,16,Rasmussen Reports/Pulse Opinion Research,43,46
FL,9/20/16,49,Suffolk University,44,45
FL,11/4/16,4,SurveyMonkey,47,45
FL,7/8/16,123,Greenberg Quinlan Rosner (Democracy Corps),45,40
FL,10/28/16,11,SurveyMonkey,46,45
FL,6/22/16,139,YouGov,44,41
FL,9/27/16,42,Public Policy Polling,45,43
FL,6/13/16,148,Saint Leo University,45.8,33.1
FL,2/24/16,258,Public Policy Polling,44,46
FL,11/3/16,5,Ipsos,47.66,46.77
FL,11/1/16,7,Rasmussen Reports/Pulse Opinion Research,45,45
FL,9/17/16,52,Monmouth University,46,41
FL,10/21/16,18,YouGov,46,43
FL,10/20/16,19,Rasmussen Reports/Pulse Opinion Research,46,43
FL,10/19/16,20,Rasmussen Reports/Pulse Opinion Research,46,41
FL,9/10/16,59,Google Consumer Surveys,30.85,41.04
FL,2/2/16,280,Florida Southern College,45,38
FL,10/29/16,10,CNN/Opinion Research Corp.,49,47
FL,3/7/16,246,Marist College,49,41
FL,10/3/16,36,Emerson College,44,45
FL,10/25/16,14,Marist College,45,44
FL,8/20/16,80,SurveyMonkey,42,40
FL,11/15/15,359,Florida Atlantic University,41,49
FL,10/10/16,29,Opinion Savvy/InsiderAdvantage,46.9,44.1
FL,5/2/16,190,Quinnipiac University,43,42
FL,6/27/16,134,OnMessage Inc.,45,47
FL,8/2/16,98,Suffolk University,43.2,38.8
FL,8/15/16,85,Ipsos,48.52,41.41
FL,10/12/16,27,Gravis Marketing,46,42
FL,10/31/16,8,Rasmussen Reports/Pulse Opinion Research,46,46
FL,11/2/16,6,SurveyMonkey,47,45
FL,8/11/16,89,YouGov,45,40
FL,3/5/16,248,SurveyUSA,44,45
FL,10/26/16,13,Emerson College,46,45
FL,8/21/16,79,icitizen,42,37
FL,9/30/16,39,Google Consumer Surveys,34.54,42.36
FL,9/5/16,64,Public Policy Polling,43,44
FL,8/3/16,97,Quinnipiac University,43,43
FL,9/5/16,64,Ipsos,46.88,47.17
FL,8/13/16,87,Monmouth University,48,39
FL,10/31/16,8,SurveyMonkey,47,45
FL,8/23/16,77,"Mason-Dixon Polling & Research, Inc.",44,42
FL,10/22/16,17,SurveyUSA,48,45
FL,10/12/16,27,Google Consumer Surveys,36.93,39.19
FL,10/16/16,23,Rasmussen Reports/Pulse Opinion Research,47,41
FL,9/9/16,60,CNN/Opinion Research Corp.,44,47
FL,9/12/16,57,Siena College,41,40
FL,6/27/16,134,Gravis Marketing,48.5,48.5
FL,12/1/15,343,Saint Leo University,49,41
FL,10/17/16,22,The Times-Picayune/Lucid,45,39
FL,7/8/16,123,Marist College,41,36
FL,10/20/16,19,YouGov,44,42.9
FL,9/8/16,61,Global Strategy Group,46,43
FL,11/3/16,5,YouGov,45,45
FL,8/19/16,81,Cherry Communications,41,44
FL,9/29/16,40,Quinnipiac University,46,41
GA,9/7/16,62,Marist College,42,44
GA,5/28/16,164,Public Policy Polling,38,45
GA,10/22/16,17,SurveyMonkey,44,46
GA,10/31/16,8,SurveyMonkey,44,46
GA,11/4/16,4,Gravis Marketing,44,48
GA,5/10/16,182,Time/Abt SRBI,41,45
GA,10/30/16,9,SurveyMonkey,45,45
GA,10/20/16,19,Opinion Savvy/InsiderAdvantage,46.1,50.1
GA,10/22/16,17,Google Consumer Surveys,34.06,40.4
GA,11/6/16,2,Landmark Communications,46,49
GA,8/25/16,75,Ipsos,41.1,47.01
GA,10/17/16,22,The Times-Picayune/Lucid,44,40
GA,10/29/16,10,Emerson College,42,51
GA,7/3/16,128,Lake Research Partners,41,40
GA,11/4/16,4,Google Consumer Surveys,37.71,41.45
GA,8/11/16,89,Ipsos,41.99,46.04
GA,10/13/16,26,Ipsos,40.91,49.4
GA,9/17/16,52,Quinnipiac University,40,47
GA,8/17/16,83,Opinion Savvy/InsiderAdvantage,42.8,43
GA,8/27/16,73,Google Consumer Surveys,25.87,43.94
GA,10/31/16,8,Ipsos,41.76,48.13
GA,10/26/16,13,SurveyUSA,42,49
GA,10/20/16,19,Landmark Communications,43,47
GA,9/1/16,68,Ipsos,37.89,48.39
GA,9/3/16,66,Google Consumer Surveys,31.85,40.74
GA,9/21/16,48,JMC Enterprises,38,44
GA,11/3/16,5,Landmark Communications,46,48
GA,10/3/16,36,Ipsos,43.1,48.05
GA,10/30/16,9,Ipsos,43.25,48.41
GA,9/21/16,48,Landmark Communications,42.9,46.5
GA,10/12/16,27,SurveyMonkey,45,41
GA,8/13/16,87,Google Consumer Surveys,27.63,41.69
GA,10/29/16,10,SurveyMonkey,44,45
GA,10/28/16,11,SurveyMonkey,44,46
GA,10/6/16,33,Google Consumer Surveys,30.76,42.67
GA,9/15/16,54,Ipsos,42.71,46.04
GA,7/24/16,107,Landmark Communications,44.2,45.5
GA,9/11/16,58,Emerson College,39,45
GA,11/3/16,5,Ipsos,42.38,47.79
GA,4/1/16,221,Lake Research Partners,50,37
GA,8/20/16,80,SurveyMonkey,39,40
GA,11/2/16,6,SurveyMonkey,45,45
GA,10/11/16,28,Landmark Communications,42.3,47.8
GA,11/4/16,4,YouGov,43,49
GA,5/5/16,187,Landmark Communications,41,42
GA,10/18/16,21,Time/Abt SRBI,42,44
GA,11/6/16,2,Trafalgar Group,45.11,51.58
GA,9/10/16,59,Google Consumer Surveys,31.01,39.72
GA,10/16/16,23,Clout Research/Wenzel Strategies,43.1,45.8
GA,9/23/16,46,Google Consumer Surveys,31.5,39.2
GA,11/1/16,7,SurveyMonkey,45,45
GA,9/14/16,55,Opinion Savvy/InsiderAdvantage,42,46.3
GA,7/31/16,100,Landmark Communications,46,46
GA,9/26/16,43,Ipsos,38.11,50.98
GA,10/12/16,27,Google Consumer Surveys,30.22,41.25
GA,9/30/16,39,Google Consumer Surveys,28.89,43.74
GA,8/11/16,89,YouGov,41,45
GA,10/6/16,33,Ipsos,41.51,50.04
GA,5/15/16,177,Opinion Savvy/InsiderAdvantage,41,44
GA,9/16/16,53,Monmouth University,42,45
GA,10/28/16,11,Google Consumer Surveys,32.92,41.56
GA,10/24/16,15,SurveyMonkey,44,45
GA,7/30/16,101,SurveyUSA,42,46
GA,9/8/16,61,Ipsos,39.99,47.77
GA,10/17/16,22,Google Consumer Surveys,33.26,42.1
GA,10/31/16,8,Marist College,44,45
GA,2/22/16,260,SurveyUSA,41,50
GA,11/4/16,4,SurveyMonkey,45,45
GA,11/2/16,6,Opinion Savvy/InsiderAdvantage,44.7,48.5
GA,10/20/16,19,Ipsos,43.11,47.84
GA,8/2/16,98,Time/Abt SRBI,41,38
GA,10/21/16,18,SurveyMonkey,44,47
GA,8/6/16,94,JMC Enterprises,44,37
GA,10/23/16,16,Quinnipiac University,43,44
GA,8/20/16,80,Google Consumer Surveys,27.58,44.61
GA,8/6/16,94,Gravis Marketing,39,43
GA,9/17/16,52,Google Consumer Surveys,30.02,44.88
GA,10/20/16,19,YouGov,40.5,45.4
GA,8/18/16,82,Ipsos,43.33,46.33
GA,10/27/16,12,SurveyMonkey,44,46
HI,10/28/16,11,SurveyMonkey,51,32
HI,10/17/16,22,Google Consumer Surveys,49.02,27.28
HI,11/2/16,6,SurveyMonkey,52,29
HI,10/22/16,17,Google Consumer Surveys,46.73,27.11
HI,9/17/16,52,Google Consumer Surveys,43.2,31.59
HI,10/28/16,11,Google Consumer Surveys,45.23,23.66
HI,10/12/16,27,Google Consumer Surveys,51.35,20.4
HI,8/27/16,73,Google Consumer Surveys,41.35,23.55
HI,10/30/16,9,SurveyMonkey,52,31
HI,9/10/16,59,Google Consumer Surveys,40.16,21.25
HI,10/27/16,12,SurveyMonkey,52,31
HI,8/13/16,87,Google Consumer Surveys,53.27,22.95
HI,10/20/16,19,YouGov,50.3,27.9
HI,9/23/16,46,Google Consumer Surveys,42.4,21.69
HI,8/20/16,80,SurveyMonkey,51,25
HI,11/1/16,7,SurveyMonkey,53,28
HI,10/21/16,18,SurveyMonkey,49,34
HI,10/22/16,17,SurveyMonkey,49,33
HI,10/24/16,15,SurveyMonkey,49,31
HI,9/3/16,66,Google Consumer Surveys,47.31,27.69
HI,10/6/16,33,Google Consumer Surveys,49.42,29.17
HI,11/4/16,4,SurveyMonkey,52,28
HI,10/31/16,8,SurveyMonkey,52,29
HI,10/29/16,10,SurveyMonkey,51,30
HI,9/30/16,39,Google Consumer Surveys,62.08,16.96
HI,8/20/16,80,Google Consumer Surveys,42.98,22.49
HI,11/4/16,4,Google Consumer Surveys,43.62,28.72
HI,10/30/16,9,Ipsos,47.31,28.75
IA,8/20/16,80,SurveyMonkey,36,40
IA,1/4/16,309,Marist College,48,40
IA,9/19/16,50,Ipsos,42.15,48.82
IA,11/1/16,7,RABA Research,41,44
IA,8/29/16,71,Ipsos,41.39,43.91
IA,10/10/16,29,Ipsos,45.62,42.61
IA,9/17/16,52,Quinnipiac University,37,44
IA,10/21/16,18,SurveyMonkey,40,44
IA,6/16/16,145,Evolving Strategies,38,36
IA,8/18/16,82,YouGov,40,40
IA,8/27/16,73,Google Consumer Surveys,33.58,32.81
IA,8/5/16,95,Marist College,35,35
IA,10/17/16,22,Google Consumer Surveys,34.22,32.63
IA,8/9/16,91,Suffolk University,36,37
IA,10/6/16,33,Google Consumer Surveys,36.61,27.19
IA,9/12/16,57,Ipsos,40.51,50.74
IA,9/3/16,66,Google Consumer Surveys,36.29,30.31
IA,10/22/16,17,SurveyMonkey,41,44
IA,10/4/16,35,Selzer & Company,39,43
IA,10/28/16,11,Google Consumer Surveys,37.55,30.16
IA,10/22/16,17,Google Consumer Surveys,40.17,30.78
IA,8/20/16,80,Google Consumer Surveys,40.4,33.02
IA,10/17/16,22,Ipsos,44.39,41.78
IA,11/4/16,4,Google Consumer Surveys,35.57,33.72
IA,12/11/15,333,Public Policy Polling,45,43
IA,9/26/16,43,Ipsos,44.43,46.18
IA,10/24/16,15,Ipsos,45.04,44.16
IA,8/15/16,85,Ipsos,43.05,39.52
IA,10/31/16,8,SurveyMonkey,37,47
IA,9/21/16,48,Loras College,37.7,38.3
IA,10/27/16,12,Ipsos,44.07,43.87
IA,10/12/16,27,Google Consumer Surveys,32.59,35.59
IA,6/26/16,135,Loras College,44,31
IA,9/23/16,46,Google Consumer Surveys,36.2,29.81
IA,11/4/16,4,SurveyMonkey,38,47
IA,8/13/16,87,Google Consumer Surveys,37.83,28.17
IA,10/29/16,10,SurveyMonkey,39,45
IA,11/2/16,6,Selzer & Company,39,46
IA,10/28/16,11,SurveyMonkey,40,45
IA,10/24/16,15,SurveyMonkey,41,44
IA,11/2/16,6,Emerson College,41,44
IA,1/9/16,304,Public Policy Polling,42,42
IA,7/14/16,117,YouGov,39,40
IA,9/7/16,62,RABA Research,39,40
IA,10/8/16,31,The Times-Picayune/Lucid,41,37
IA,7/9/16,122,Monmouth University,42,44
IA,9/10/16,59,Google Consumer Surveys,30.38,35.27
IA,9/17/16,52,Google Consumer Surveys,29.97,30.86
IA,9/5/16,64,Ipsos,40.55,49.46
IA,7/7/16,124,Gravis Marketing,39,37
IA,9/30/16,39,Google Consumer Surveys,38.14,29.27
IA,10/27/16,12,SurveyMonkey,40,44
IA,11/13/15,361,Morning Consult,41,40
IA,10/30/16,9,SurveyMonkey,37,47
IA,11/2/16,6,Loras College,44.2,43.4
IA,10/20/16,19,YouGov,40.4,37.3
IA,8/31/16,69,Emerson College,39,44
IA,6/9/16,152,Public Policy Polling,44,41
IA,8/22/16,78,Ipsos,41.18,44.18
IA,8/8/16,92,Ipsos,41.22,41.45
IA,11/2/16,6,SurveyMonkey,37,47
IA,7/7/16,124,Marist College,37,37
IA,8/30/16,70,Public Policy Polling,45,43
IA,10/23/16,16,Quinnipiac University,44,44
IA,11/1/16,7,SurveyMonkey,37,47
IA,10/12/16,27,SurveyMonkey,40,45
IA,9/13/16,56,Monmouth University,37,45
IA,8/12/16,88,Quinnipiac University,41,39
IA,10/3/16,36,Ipsos,44.74,44.49
IA,6/22/16,139,Public Policy Polling,41,39
ID,10/10/16,29,Ipsos,35.13,50.7
ID,10/3/16,36,Ipsos,31.26,54.18
ID,8/20/16,80,SurveyMonkey,25,44
ID,10/30/16,9,Ipsos,30.06,53.26
ID,8/8/16,92,Ipsos,30.39,44.22
ID,10/29/16,10,SurveyMonkey,32,47
ID,8/20/16,80,Google Consumer Surveys,25.88,36.13
ID,8/13/16,87,Google Consumer Surveys,24.07,40.41
ID,8/29/16,71,Ipsos,30.1,55.85
ID,8/24/16,76,Dan Jones & Associates,23,44
ID,9/30/16,39,Google Consumer Surveys,27.19,42.68
ID,7/10/16,121,Dan Jones & Associates,23,44
ID,9/5/16,64,Ipsos,31.94,56.14
ID,9/12/16,57,Ipsos,32.19,54.9
ID,10/27/16,12,SurveyMonkey,31,49
ID,4/13/16,209,Dan Jones & Associates,32,49
ID,8/15/16,85,Ipsos,29.2,49.24
ID,10/22/16,17,SurveyMonkey,29,49
ID,9/26/16,43,Ipsos,31.01,55.22
ID,10/17/16,22,Google Consumer Surveys,26.63,38.39
ID,9/23/16,46,Google Consumer Surveys,22.61,46.46
ID,10/22/16,17,Google Consumer Surveys,27.77,37.57
ID,8/27/16,73,Google Consumer Surveys,25.17,35.94
ID,10/30/16,9,SurveyMonkey,30,49
ID,10/28/16,11,SurveyMonkey,31,49
ID,11/2/16,6,SurveyMonkey,29,47
ID,10/20/16,19,YouGov,25.3,44.8
ID,5/26/16,166,Dan Jones & Associates,32,49
ID,10/3/16,36,Dan Jones & Associates,30,40
ID,10/31/16,8,SurveyMonkey,30,49
ID,10/28/16,11,Google Consumer Surveys,21.81,44.25
ID,11/4/16,4,Google Consumer Surveys,30.38,34.5
ID,9/3/16,66,Google Consumer Surveys,24.67,35.73
ID,10/23/16,16,Rasmussen Reports/Pulse Opinion Research,29,48
ID,8/22/16,78,Ipsos,27.92,58.08
ID,9/17/16,52,Google Consumer Surveys,18.72,43.51
ID,10/22/16,17,Emerson College,23,52
ID,10/24/16,15,SurveyMonkey,29,48
ID,10/26/16,13,Google Consumer Surveys,29,41
ID,11/4/16,4,SurveyMonkey,29,47
ID,10/27/16,12,Ipsos,29.97,51.68
ID,11/1/16,7,SurveyMonkey,30,47
ID,9/10/16,59,Google Consumer Surveys,11.78,42.37
ID,10/17/16,22,Ipsos,30.1,53.87
ID,10/21/16,18,SurveyMonkey,29,50
ID,10/6/16,33,Google Consumer Surveys,24.82,32.89
ID,10/12/16,27,Google Consumer Surveys,23.38,33.65
ID,9/19/16,50,Ipsos,27.39,59.62
IL,8/2/16,98,"Normington, Petts & Associates",51,32
IL,8/13/16,87,Google Consumer Surveys,37.04,26.64
IL,10/22/16,17,SurveyMonkey,52,34
IL,8/29/16,71,Ipsos,49.97,36.68
IL,9/30/16,39,Google Consumer Surveys,42.41,25.35
IL,10/30/16,9,SurveyMonkey,53,36
IL,7/26/16,105,Illinois Public Opinion Strategies,49.2,35.6
IL,10/6/16,33,Google Consumer Surveys,39.07,29.52
IL,10/28/16,11,Google Consumer Surveys,42.66,28.26
IL,10/13/16,26,Illinois Public Opinion Strategies,50,31.5
IL,8/22/16,78,Ipsos,52.63,26.24
IL,8/27/16,73,Google Consumer Surveys,34.63,28.61
IL,10/3/16,36,Ipsos,57.49,31.29
IL,11/4/16,4,Google Consumer Surveys,38.27,31.55
IL,10/17/16,22,Ipsos,57.33,27.64
IL,10/26/16,13,Loras College,45,34
IL,9/12/16,57,We Ask America,51.24,32.71
IL,9/17/16,52,Google Consumer Surveys,39.01,29.4
IL,9/22/16,47,Victory Research,48.6,35.1
IL,9/23/16,46,Google Consumer Surveys,36.79,30.29
IL,9/3/16,66,Google Consumer Surveys,34.91,29.27
IL,10/24/16,15,Ipsos,55.55,34.57
IL,11/4/16,4,SurveyMonkey,52,35
IL,9/26/16,43,Ipsos,52.71,33.37
IL,8/20/16,80,SurveyMonkey,45,31
IL,10/27/16,12,SurveyMonkey,53,34
IL,11/2/16,6,SurveyMonkey,52,35
IL,10/29/16,10,SurveyMonkey,52,35
IL,11/3/16,5,Ipsos,51.3,39.08
IL,10/28/16,11,SurveyMonkey,52,35
IL,1/9/16,304,Ogden & Fry,36.5,27.5
IL,10/30/16,9,Ipsos,50.68,39.83
IL,9/12/16,57,Ipsos,51.5,36.18
IL,9/10/16,59,Google Consumer Surveys,37.79,29.41
IL,10/31/16,8,SurveyMonkey,52,37
IL,6/7/16,154,"Political Callers, Inc.",48.3,29.5
IL,9/20/16,49,Emerson College,44.5,38.7
IL,10/17/16,22,Victory Research,51.2,36.1
IL,10/28/16,11,Emerson College,53,41
IL,10/17/16,22,Google Consumer Surveys,38.96,29.27
IL,10/20/16,19,YouGov,48.3,33.1
IL,8/20/16,80,Google Consumer Surveys,35.37,28.77
IL,9/14/16,55,Loras College,43,30
IL,10/21/16,18,SurveyMonkey,52,34
IL,10/31/16,8,Ipsos,51.74,38.99
IL,10/4/16,35,Global Strategy Group,50,33
IL,11/1/16,7,SurveyMonkey,53,36
IL,9/29/16,40,Southern Illinois University,53.2,28.4
IL,6/5/16,156,We Ask America,47,35
IL,10/22/16,17,Google Consumer Surveys,37.07,30.39
IL,7/11/16,120,Basswood Research,46.4,32.5
IL,8/15/16,85,Ipsos,56.22,29.58
IL,7/12/16,119,"Normington, Petts & Associates",51,32
IL,10/12/16,27,Google Consumer Surveys,36.05,32.23
IL,7/15/16,116,Victory Research,51,34
IL,9/19/16,50,Ipsos,53.43,30.81
IL,9/5/16,64,Ipsos,51.65,33.86
IL,10/24/16,15,SurveyMonkey,51,34
IL,10/10/16,29,Ipsos,60.31,27.44
IL,3/7/16,246,Marist College,57,32
IN,9/30/16,39,Google Consumer Surveys,35.1,32.52
IN,10/20/16,19,YouGov,36.6,43.8
IN,9/7/16,62,Public Opinion Strategies,36,43
IN,9/29/16,40,Ipsos,37.21,50.31
IN,10/28/16,11,SurveyMonkey,37,51
IN,9/15/16,54,Ipsos,34.92,53.53
IN,8/20/16,80,Google Consumer Surveys,31.81,35.98
IN,10/13/16,26,Ball State University,37,43
IN,9/3/16,66,Google Consumer Surveys,29.21,35.57
IN,10/22/16,17,SurveyMonkey,35,50
IN,9/22/16,47,Ipsos,35.88,53.16
IN,9/17/16,52,Google Consumer Surveys,31.89,32.25
IN,11/2/16,6,SurveyMonkey,35,52
IN,10/21/16,18,SurveyMonkey,35,48
IN,10/30/16,9,Ipsos,36.17,53.24
IN,4/27/16,195,Marist College,41,48
IN,7/20/16,111,Tarrance Group,36,50
IN,8/2/16,98,Expedition Strategies,44,44
IN,9/8/16,61,Ipsos,33.33,53.13
IN,10/23/16,16,Gravis Marketing,38,49
IN,11/4/16,4,SurveyMonkey,35,52
IN,9/1/16,68,Ipsos,32.07,55.94
IN,10/30/16,9,SurveyMonkey,36,51
IN,10/6/16,33,Google Consumer Surveys,36.04,35.07
IN,10/13/16,26,Ipsos,38.42,49.04
IN,5/13/16,179,Bellwether Research & Consulting,31,40
IN,10/31/16,8,Gravis Marketing,39,49
IN,10/8/16,31,The Times-Picayune/Lucid,37,43
IN,10/4/16,35,Public Opinion Strategies,38,43
IN,8/25/16,75,Ipsos,32.08,55.66
IN,10/31/16,8,SurveyMonkey,35,52
IN,10/31/16,8,Ipsos,37.96,52.81
IN,10/28/16,11,Google Consumer Surveys,36.46,33.82
IN,8/13/16,87,Google Consumer Surveys,31.62,35.74
IN,10/24/16,15,SurveyMonkey,36,50
IN,8/27/16,73,Google Consumer Surveys,34.59,30.45
IN,8/20/16,80,SurveyMonkey,30,46
IN,9/10/16,59,Google Consumer Surveys,30.92,31.52
IN,11/4/16,4,Google Consumer Surveys,33.93,36.45
IN,10/12/16,27,Google Consumer Surveys,38.24,32.72
IN,10/28/16,11,Monmouth University,39,50
IN,8/18/16,82,Ipsos,34.06,55.4
IN,11/2/16,6,Public Opinion Strategies,37,48
IN,10/27/16,12,SurveyMonkey,37,49
IN,4/19/16,203,Public Opinion Strategies,39,47
IN,8/14/16,86,Monmouth University,36,47
IN,11/3/16,5,Ipsos,37.79,53.68
IN,10/22/16,17,Google Consumer Surveys,34.08,33.95
IN,10/20/16,19,Ipsos,38.9,53.54
IN,9/23/16,46,Google Consumer Surveys,36.14,33.29
IN,10/17/16,22,Google Consumer Surveys,35.95,33.04
IN,10/29/16,10,SurveyMonkey,37,52
IN,10/12/16,27,Monmouth University,41,45
IN,11/1/16,7,SurveyMonkey,35,53
IN,10/6/16,33,Ipsos,38.27,47.14
IN,8/11/16,89,Ipsos,36.31,54.13
KS,6/5/16,156,Zogby Interactive/JZ Analytics,43,36
KS,10/20/16,19,YouGov,31.6,47.5
KS,8/29/16,71,Ipsos,38.27,51.62
KS,8/20/16,80,Google Consumer Surveys,40.04,26.88
KS,10/27/16,12,SurveyMonkey,36,47
KS,11/1/16,7,SurveyMonkey,36,48
KS,9/3/16,66,Google Consumer Surveys,36.4,33.94
KS,9/12/16,57,Ipsos,35.91,50.8
KS,9/10/16,59,Google Consumer Surveys,37.26,28.56
KS,10/17/16,22,Google Consumer Surveys,38.59,29.67
KS,10/22/16,17,SurveyMonkey,36,48
KS,9/30/16,39,Google Consumer Surveys,36.39,28.62
KS,8/27/16,73,Google Consumer Surveys,43.82,26.61
KS,10/22/16,17,Google Consumer Surveys,36.26,32.61
KS,10/3/16,36,Ipsos,37.9,50.27
KS,11/2/16,6,SurveyMonkey,36,48
KS,10/29/16,10,SurveyMonkey,37,48
KS,8/20/16,80,SurveyMonkey,30,43
KS,8/5/16,95,SurveyUSA,39,44
KS,10/31/16,8,SurveyMonkey,36,49
KS,10/27/16,12,Ipsos,38.22,54.45
KS,10/24/16,15,SurveyMonkey,36,47
KS,10/28/16,11,Google Consumer Surveys,39.89,30.88
KS,10/12/16,27,Google Consumer Surveys,45.87,26.74
KS,10/13/16,26,SurveyUSA,36,47
KS,11/4/16,4,SurveyMonkey,36,49
KS,8/22/16,78,Ipsos,37.02,52.45
KS,9/26/16,43,Ipsos,34.85,55.3
KS,10/10/16,29,Ipsos,37.87,50.29
KS,11/2/16,6,Fort Hays State University,34,58
KS,7/9/16,122,SurveyUSA,36,47
KS,8/8/16,92,Ipsos,37.04,47.54
KS,7/16/16,115,Fort Hays State University,27,44
KS,11/4/16,4,Google Consumer Surveys,41.28,31
KS,8/15/16,85,Ipsos,37.35,47.97
KS,9/5/16,64,Ipsos,38.88,49.42
KS,9/23/16,46,Google Consumer Surveys,42.95,30.92
KS,9/19/16,50,Ipsos,34.4,53.56
KS,2/22/16,260,Fort Hays State University,36,46
KS,9/8/16,61,SurveyUSA,36,48
KS,9/17/16,52,Google Consumer Surveys,41.3,29.59
KS,10/28/16,11,SurveyUSA,38,49
KS,8/22/16,78,Remington,37,44
KS,10/21/16,18,SurveyMonkey,36,48
KS,10/6/16,33,Google Consumer Surveys,40.37,30.72
KS,10/17/16,22,Ipsos,38.44,51.94
KS,10/24/16,15,Ipsos,37.62,52.76
KS,9/22/16,47,Fort Hays State University,39,47
KS,8/13/16,87,Google Consumer Surveys,34.98,30.11
KS,10/28/16,11,SurveyMonkey,36,47
KS,10/30/16,9,SurveyMonkey,37,48
KY,11/1/16,7,SurveyMonkey,36,54
KY,9/29/16,40,Ipsos,37.27,57.06
KY,8/22/16,78,Ipsos,41.76,46.34
KY,10/27/16,12,Western Kentucky University,37,54
KY,10/27/16,12,Cygnal Political,32,56
KY,10/22/16,17,Google Consumer Surveys,33.81,36.79
KY,8/20/16,80,Google Consumer Surveys,34.88,39.74
KY,10/6/16,33,Google Consumer Surveys,35.39,34
KY,9/17/16,52,Google Consumer Surveys,29.61,40.67
KY,8/3/16,97,Google Consumer Surveys,25,41
KY,9/3/16,66,Google Consumer Surveys,29.48,40.03
KY,10/27/16,12,Ipsos,34.13,61
KY,10/17/16,22,Ipsos,37.65,56.14
KY,10/10/16,29,Ipsos,41.04,51.6
KY,10/27/16,12,Google Consumer Surveys,24.8,38.2
KY,11/2/16,6,SurveyMonkey,35,53
KY,9/15/16,54,Google Consumer Surveys,23.9,35.4
KY,10/24/16,15,SurveyMonkey,30,61
KY,9/23/16,46,Google Consumer Surveys,32.6,35.16
KY,9/22/16,47,Ipsos,37.76,56.38
KY,8/29/16,71,Ipsos,37.01,53.27
KY,9/30/16,39,Google Consumer Surveys,36.44,36.64
KY,10/28/16,11,Google Consumer Surveys,29.49,41.4
KY,7/31/16,100,Harper Polling,36,49
KY,10/30/16,9,SurveyMonkey,35,56
KY,8/27/16,73,Google Consumer Surveys,36.67,32.51
KY,8/8/16,92,Ipsos,41.02,47.01
KY,11/4/16,4,Google Consumer Surveys,31.9,43.89
KY,11/4/16,4,SurveyMonkey,35,54
KY,10/17/16,22,Google Consumer Surveys,33.15,43.68
KY,10/27/16,12,SurveyMonkey,31,59
KY,10/20/16,19,YouGov,32.2,52.2
KY,7/6/16,125,Google Consumer Surveys,28.3,33.6
KY,10/28/16,11,SurveyMonkey,31,58
KY,10/31/16,8,SurveyMonkey,35,55
KY,10/13/16,26,Google Consumer Surveys,28.4,31.8
KY,10/27/16,12,Ipsos,36.01,59.44
KY,10/21/16,18,SurveyMonkey,29,60
KY,10/22/16,17,SurveyMonkey,29,60
KY,10/12/16,27,Google Consumer Surveys,29.49,41.89
KY,8/13/16,87,Google Consumer Surveys,33.42,34.87
KY,9/5/16,64,Ipsos,35.33,53.99
KY,10/6/16,33,Ipsos,39.38,53.08
KY,8/20/16,80,SurveyMonkey,29,52
KY,9/10/16,59,Google Consumer Surveys,32.16,43.82
KY,9/15/16,54,Ipsos,37.31,53.57
KY,10/30/16,9,Ipsos,37.64,58.29
KY,8/15/16,85,Ipsos,43.04,45.34
KY,10/29/16,10,SurveyMonkey,34,57
LA,10/28/16,11,Google Consumer Surveys,28.59,49.58
LA,10/24/16,15,SurveyMonkey,37,54
LA,10/20/16,19,Southern Media & Opinion Research,35,50
LA,10/18/16,21,The Times-Picayune/Lucid,40,43
LA,10/20/16,19,YouGov,35.9,47.3
LA,9/26/16,43,Ipsos,35.53,50.88
LA,8/22/16,78,Ipsos,36.85,56.69
LA,9/17/16,52,Google Consumer Surveys,25.28,53.54
LA,10/22/16,17,Google Consumer Surveys,34.12,44.79
LA,10/6/16,33,Google Consumer Surveys,22.83,49.2
LA,8/13/16,87,Google Consumer Surveys,27.03,46.2
LA,11/2/16,6,SurveyMonkey,38,52
LA,10/17/16,22,Google Consumer Surveys,25.88,51.95
LA,10/24/16,15,Ipsos,35.83,53.2
LA,10/18/16,21,"Mason-Dixon Polling & Research, Inc.",34,54
